city,time,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,windspeed_10m_max,windgusts_10m_max,weathercode
Casablanca,2026-09-17,25.3,19.7,0.0,0,12.8,36.0,3
Casablanca,2026-09-18,25.0,18.4,0.0,0,12.0,32.8,3
Casablanca,2026-09-19,26.5,19.4,0.0,0,11.9,31.7,45
Casablanca,2026-09-20,28.7,21.1,0.0,0,10.2,29.9,45
Casablanca,2026-09-21,27.9,21.1,0.0,0,10.8,31.3,45
Casablanca,2026-09-22,29.7,20.9,0.0,0,11.4,29.9,45
Casablanca,2026-09-23,28.7,20.9,0.0,0,12.3,32.4,45
Tangier,2026-09-17,26.7,17.6,0.0,0,10.6,25.6,3
Tangier,2026-09-18,28.0,18.5,0.0,0,19.2,45.7,3
Tangier,2026-09-19,27.9,22.7,0.0,0,29.7,71.6,2
Tangier,2026-09-20,28.5,24.1,0.0,0,30.6,74.9,2
Tangier,2026-09-21,28.5,23.3,0.0,0,27.7,66.2,2
Tangier,2026-09-22,26.6,22.1,0.0,0,32.8,60.8,1
Tangier,2026-09-23,27.5,22.3,0.0,0,29.3,54.7,1
Fès,2026-09-17,28.9,18.0,0.0,0,12.2,32.4,3
Fès,2026-09-18,31.2,17.8,0.0,0,10.0,27.7,2
Fès,2026-09-19,33.6,20.9,0.0,0,17.8,45.4,2
Fès,2026-09-20,36.1,22.7,0.0,0,14.8,38.9,2
Fès,2026-09-21,35.5,22.9,0.0,3,14.5,36.7,2
Fès,2026-09-22,35.4,21.7,0.0,0,11.3,28.8,1
Fès,2026-09-23,36.0,22.0,0.0,0,12.3,30.2,1
Marrakech,2026-09-17,30.2,18.3,0.0,0,10.6,31.0,2
Marrakech,2026-09-18,32.0,18.3,0.0,0,7.6,23.0,1
Marrakech,2026-09-19,35.5,20.6,0.0,5,9.1,25.6,3
Marrakech,2026-09-20,37.9,22.8,1.5,25,10.4,30.6,80
Marrakech,2026-09-21,37.7,23.3,0.0,13,12.4,33.8,3
